ID,縣市,鄉鎮市區,路名,土地面積,使用分區,移轉層次,總樓層數,主要用途,主要建材,建物型態,屋齡,建物面積,車位面積,車位個數,橫坐標,縱坐標,備註,主建物面積,陽台面積,附屬建物面積
PU-59,新北市,三重區,信義街,-0.15471756,None,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),44.5,-0.580926794,-0.819325686,0,300577,2773090,,0.222210928,-1.642077109,-0.438451903
PU-60,台北市,文山區,辛亥路四段,-0.215931042,None,4,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),45.41666667,-1.072731517,-0.819325686,0,306069,2766392,,-0.686718836,-0.985138609,-0.438451903
PU-61,桃園市,中壢區,環西路,-0.959577517,None,9,15,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),11.5,-0.080503997,-0.094813001,1,271558,2761804,,-0.409202466,0.188819023,0.06117196
PU-62,桃園市,桃園區,民光東路,-0.653365904,None,8,13,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),19,-0.050628009,0.350090311,1,281993,2766665,,-0.2519149,-0.149035062,0.654742189
PU-63,新北市,土城區,延壽路,-1.313279449,None,11,19,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),26.33333333,-1.084222281,-0.819325686,0,297613,2764802,,-1.100588816,-0.422048465,-0.291126918
PU-64,高雄市,三民區,鼎中路,-0.755772912,None,13,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),14.83333333,-0.032242786,-0.043834496,1,180502,2508434,,-0.13932416,-1.111407307,0.60990415
PU-65,台北市,大安區,金山南路二段,-0.23150479,None,7,24,住家用,鋼骨造,住宅大樓(11層含以上有電梯),2.666666667,0.106795465,1.301689062,1,303101,2768983,,-0.075107834,-0.573912171,-0.438451903
PU-66,新竹縣,竹北市,莊敬三路,-0.117681841,None,13,32,住家用,鋼骨造,住宅大樓(11層含以上有電梯),6.25,2.664065118,1.517961505,2,252703,2746623,,1.888440716,2.82339836,0.607769006
PU-67,新北市,蘆洲區,長安街,1.340939071,None,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),17.5,0.098177392,-0.819325686,0,296431,2774874,,0.150922319,-0.063718374,-0.438451903
PU-68,台南市,北區,開元路,-0.997478445,None,12,14,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),23.41666667,-0.768226256,-0.819325686,0,170509,2545649,,-0.691245097,-0.567086835,-0.438451903
PU-69,高雄市,楠梓區,創新路,-1.140766541,None,6,15,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),2.166666667,-0.961845639,-0.819325686,0,181285,2516778,,-1.283053708,0.320206724,-0.438451903
PU-70,新北市,板橋區,四維路,0.529253581,None,2,4,住家用,加強磚造,公寓(5樓含以下無電梯),48.08333333,-0.190240799,-0.819325686,0,296894,2768774,,0.858716364,-1.642077109,-0.438451903
PU-71,台中市,中區,柳川西路三段,0.664466401,None,9,15,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),8.833333333,1.739058571,1.857818202,2,217155,2671008,,1.353493257,1.420792004,1.05401425
PU-72,新北市,土城區,學士路,0.207900824,None,23,24,集合住宅,鋼骨造,住宅大樓(11層含以上有電梯),0.25,0.268815245,0.611162046,1,295320,2763453,,0.10792284,-0.701887203,0.06117196
PU-73,高雄市,鼓山區,中華一路,0.821189259,None,4,13,商業用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),13.25,3.051303883,0.932481105,2,177271,2506849,,2.074300303,-1.642077109,-0.438451903
PU-74,新北市,三重區,元富二街,-0.606139955,None,18,21,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),0.083333333,-0.647573228,-0.819325686,0,300184,2774530,,-0.911334532,-0.836687571,0.270416141
PU-75,新北市,新店區,永安街,0.498466588,住,5,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),41.41666667,-0.845214379,-0.819325686,0,302562,2764207,,-0.421932574,-0.34696978,-0.438451903
PU-76,高雄市,前鎮區,林森三路,-0.827440994,None,4,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),28.5,-0.118998059,-0.819325686,0,178890,2501530,,0.092929601,0.615402465,-0.438451903
PU-77,新北市,板橋區,三民路二段,-0.752600481,None,5,21,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),30.16666667,0.675013772,-0.819325686,0,298457,2767873,,1.405545258,1.043692241,-0.143801933
PU-78,基隆市,中正區,中正路,-0.717559548,None,2,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),29.08333333,-1.178446551,-0.819325686,0,326719,2781826,,-1.040332968,-0.271891094,-0.438451903
PU-79,新竹縣,竹北市,新國街,0.676723518,None,2,6,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),16.91666667,-0.253440004,0.2960222,1,249496,2748214,,0.149790754,-0.725775876,0.012063631
PU-80,新竹縣,竹北市,光明九路,-0.375585994,None,7,10,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),26.16666667,-0.204604255,-0.819325686,0,250906,2746610,,-0.285578965,-0.420342131,-0.316748654
PU-81,高雄市,楠梓區,大學二街,-0.166061401,None,5,15,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),0.416666667,0.184932664,0.523108266,1,176445,2513809,,-0.289256552,0.052312322,0.174334629
PU-82,高雄市,仁武區,永新五街,-0.043442168,None,13,13,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),0.166666667,-0.744670189,0.635878897,1,181752,2509918,,-0.992807228,-0.951011933,-0.438451903
PU-83,高雄市,鼓山區,裕國街,-0.129914924,None,11,18,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),9.916666667,0.700867993,0.57408677,1,177288,2506088,,0.077653471,0.687068484,1.630503322
PU-84,台中市,南屯區,大墩六街,1.962374883,None,10,23,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),4.166666667,3.099565094,2.953083648,2,213881,2670826,,2.493262326,1.970231477,2.251830433
PU-85,台北市,大安區,光復南路,-1.048501697,None,2,12,商業用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),34.91666667,-0.285614145,-0.819325686,0,306271,2769422,,-0.167613291,0.910598207,-0.438451903
PU-86,台中市,北屯區,柳陽東街,-0.362824173,None,11,13,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),27.5,0.078643092,-0.202949223,1,218863,2674511,,0.314999276,0.646116473,-0.113909907
PU-87,台北市,文山區,辛亥路四段,-0.33028273,None,6,18,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),26.25,-1.331273719,-0.819325686,0,306429,2766826,,-1.385743251,-0.778672223,-0.069071868
PU-88,桃園市,中壢區,文化二路,0.049784019,None,8,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),17.58333333,-0.256887233,-0.819325686,0,275278,2763284,,-0.292651248,-0.323081107,-0.254829458
PU-89,台北市,中正區,羅斯福路二段,-0.921388187,None,6,12,其他,鋼筋混凝土造,住宅大樓(11層含以上有電梯),32.66666667,0.583087656,-0.819325686,0,302688,2768857,,0.232395015,4.427352102,-0.438451903
PU-90,台北市,文山區,辛亥路四段,-0.125252413,None,12,26,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),1.583333333,0.472201778,0.725477481,1,306095,2766073,,0.156863036,-0.40157246,1.226960972
PU-91,宜蘭縣,羅東鎮,博愛路,0.503826073,None,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),38.91666667,-0.357431423,-0.819325686,0,328292,2729526,,0.586009146,-1.642077109,-0.438451903
PU-92,高雄市,苓雅區,福建街,0.422544566,None,3,5,其他,鋼筋混凝土造,公寓(5樓含以下無電梯),37.66666667,-0.070736847,-0.819325686,0,179633,2502326,,0.206934797,0.637584804,-0.438451903
PU-93,新北市,中和區,中安街,-0.696169678,None,4,14,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),0.583333333,-0.475786298,-0.134977883,1,301648,2766086,,-0.860696989,0.014772979,-0.438451903
PU-94,新北市,泰山區,貴子路,1.098079927,None,3,5,集合住宅,鋼筋混凝土造,公寓(5樓含以下無電梯),6.666666667,0.333163527,-0.819325686,0,293010,2770569,,0.139606667,-0.123440056,0.83622949
PU-95,新北市,土城區,金城路三段,-0.789780402,住,13,18,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),23.08333333,-0.074758615,-0.819325686,0,296917,2764287,,0.071146971,-1.143827649,-0.438451903
PU-96,新北市,中和區,中正路,0.312470852,None,5,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),36.91666667,-0.526345662,-0.819325686,0,299060,2765426,,-0.101982508,0.852582859,-0.438451903
PU-97,台中市,烏日區,長壽路,0.304587844,None,6,12,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),4.083333333,-0.423503319,0.685312598,1,208205,2667520,,-0.703126532,-0.358914116,0.016333921
PU-98,新北市,汐止區,民族二街,-0.408680209,None,4,8,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),17.08333333,-0.837170843,1.001997248,1,313840,2773744,,-1.123503011,0.806511847,-0.438451903
PU-99,新北市,蘆洲區,仁愛街,0.288869894,None,5,9,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),21.33333333,0.586534885,0.727022284,1,297596,2776199,,0.671725212,0.229771034,-0.438451903
PU-100,高雄市,三民區,九如一路,-0.005685442,None,11,14,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),32.33333333,1.230592239,-0.819325686,0,179988,2504608,,1.177817757,1.644321727,0.063307104
PU-101,高雄市,楠梓區,援中路,-0.618805642,None,8,15,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),0.416666667,-0.462571919,0.523108266,1,176428,2513797,,-0.903979359,-0.411810463,0.343011061
PU-102,新北市,土城區,中華路二段,3.305730831,None,5,8,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),23,1.435702386,-0.819325686,0,294473,2763436,,1.043727278,0.912304541,-0.438451903
PU-103,新竹縣,新豐鄉,明新一街,0.415310464,None,6,9,其他,鋼筋混凝土造,華廈(10層含以下有電梯),0.166666667,0.002804046,0.373262359,1,248915,2750799,,-0.209481204,-0.425461133,-0.438451903
PU-104,台南市,永康區,復國一路,-0.002513011,None,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),3.333333333,-0.864748678,-0.819325686,0,172480,2546119,,-0.829578945,-0.601213511,-0.438451903
PU-105,新竹縣,竹北市,勝利十一路,-1.135046554,None,11,23,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),5.916666667,-0.782015174,0.583355589,1,253190,2746400,,-1.06692475,-0.659228859,-0.177964248
PU-106,新北市,淡水區,新市一路三段,-0.078795537,None,3,20,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),7.083333333,0.05968333,-0.127253867,1,294918,2786564,,-0.002121877,-0.319668439,-0.438451903
PU-107,苗栗縣,頭份市,永昌街,0.157262109,其他,4,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),24.66666667,-0.513131283,-0.192135601,1,242244,2729160,,-0.366485879,-0.102964051,-0.438451903
PU-108,台中市,大里區,祥興路,-0.023782714,None,2,15,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),0.666666667,-0.249418236,0.60807244,1,217619,2668154,,-0.515286705,-0.092726048,-0.438451903
PU-109,新北市,新莊區,立信三街,-0.426825549,None,13,13,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),16.5,0.188954432,0.475219368,1,294791,2771403,,-0.108489008,0.396991743,0.375038232
PU-110,桃園市,桃園區,天祥三街,-0.066394219,None,10,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),16.25,-0.51083313,0.569452361,1,280771,2767709,,-0.64852851,-1.254739344,0.940851581
PU-111,台中市,西區,公益路,-0.429613442,None,8,14,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),21.91666667,0.599749265,-0.484103399,1,214914,2671719,,0.547535929,-0.24288342,-0.438451903
PU-112,新北市,新莊區,思源路,2.350949514,None,8,9,集合住宅,鋼筋混凝土造,華廈(10層含以下有電梯),6.333333333,0.947919431,2.546800415,2,296535,2771442,,0.79053956,0.405523412,-0.438451903
PU-113,新北市,土城區,中央路四段,-0.703499914,None,9,15,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),15.25,-0.236203857,-0.819325686,0,291694,2760621,,-0.359413596,0.212707696,0.24265926
PU-114,新竹市,新竹市,中華路一段,0.061127861,None,9,15,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),8.25,0.51356853,1.728054736,2,248499,2744706,,0.350926472,-0.050067704,-0.438451903
PU-115,新北市,板橋區,幸福路,0.801890309,None,2,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),47,-0.728583118,-0.819325686,0,296414,2768279,,-0.017680899,-1.642077109,-0.438451903
PU-116,台中市,北屯區,南興路,-0.513442506,None,10,12,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),2.75,-0.817062005,0.67140937,1,220114,2676398,,-1.04740525,-0.802560895,-0.318883799
PU-117,新北市,板橋區,成都街,-0.077786128,None,3,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),41.75,-0.475786298,-0.819325686,0,296764,2766496,,0.065772036,0.338976395,-0.438451903
PU-118,新北市,淡水區,新市一路三段,-0.190167064,None,11,15,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),12.25,-0.162662964,0.572541967,1,294913,2786051,,-0.29972353,-0.157566731,0.189280642
PU-119,台南市,東區,利東街,-0.785862931,None,9,9,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),26.91666667,-1.058942599,0.674498976,1,171710,2541136,,-0.981208685,-0.863988911,-0.438451903
PU-120,高雄市,鼓山區,美明路,-0.794923584,None,10,11,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),16.83333333,-0.732604886,0.033405662,1,177127,2507481,,-0.908222728,-0.459587808,-0.438451903
PU-121,高雄市,左營區,大中二路,-0.938860587,None,9,23,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),22.66666667,0.228023031,-0.332712689,1,179287,2509005,,0.238618623,0.405523412,0.17006434
PU-122,新北市,中和區,中興街,-1.048934301,None,4,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),26,-1.301397732,-0.819325686,0,300397,2764722,,-1.513610121,-0.154154064,-0.438451903
PU-123,新北市,永和區,安樂路,-0.568479363,None,4,15,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),13.08333333,0.002229508,1.049886146,1,301947,2765852,,0.039463144,-0.282129096,-0.438451903
